asymmetry,compactness,rgb_mean_value,rgb_standard_deviation,rgb_skewness,rgb_kurtosis,rgb_peak_val,blue_white_veil
0.6991,,"(163.10425073926717, 127.52247744854208, 114.63062122270071)","(18.626115516693336, 24.233192106098002, 24.840107902788073)","(1.6186489322553141, 0.9451768267417796, 1.1324467461954992)","(1.1163365090521182, -0.8333031920581182, -0.0566420701362631)","(154, 116, 110)",
0.6661,,"(218.1019746140264, 125.930596953036, 106.48414960772061)","(15.475008269516742, 15.629952452425156, 13.651126780498192)","(1.8546955541831809, 1.9879941588315626, 2.283475516556524)","(2.0617815637508867, 2.7879284578479195, 4.008881027503298)","(223, 128, 108)",
,,,,,,,
0.8197,,"(189.336124435089, 141.68446450233023, 103.41310456123756)","(22.224488887403137, 22.008224866797068, 20.136474402104536)","(1.446027404785419, 1.4261388524382597, 1.634320569402319)","(0.7091959338862148, 0.5983027365913518, 1.3064081119704767)","(195, 145, 106)",
0.9481,,"(203.89303171851498, 117.24490134882217, 110.83552182668063)","(10.466602654601383, 24.76045494020115, 26.10187156896301)","(2.879582431124401, 1.3763545454718853, 1.2989890510494142)","(6.9185828205527, 0.3404022094916046, 0.11780867407385287)","(199, 114, 103)",
,,,,,,,
0.8966,,"(99.74045991722414, 79.61514788081877, 63.647550837227755)","(17.593320444564345, 12.958192749673815, 10.750903458423535)","(2.4144915416156882, 2.534296860363892, 2.8644328989334813)","(5.471530487634833, 5.48335159554725, 7.16896413695051)","(88, 79, 63)",
0.7131,,"(142.09244760237925, 88.0721047486586, 74.65689831634518)","(18.834101487051328, 36.35180623965454, 39.42918763327392)","(2.7862103953755653, 1.7094024335117972, 1.9392882057984007)","(7.236784593839026, 2.21022369368168, 3.3878017335517514)","(133, 56, 41)",
0.5966,,"(148.1178125136821, 118.33009529934907, 113.46481945163168)","(28.740647897378263, 25.828516010465414, 25.456513306548935)","(1.5706208232239263, 1.2597641563341644, 1.2339849298303671)","(1.3424235850226935, 0.3613585992704631, 0.20427206260320352)","(152, 119, 112)",1
0.791,,"(159.11020415701387, 112.6827754558908, 124.84657822411828)","(17.35500861586266, 27.009497859175518, 32.30332878652242)","(1.8861005671105402, 1.2504727172197823, 1.122645886411568)","(2.6424983972868406, 0.20182443950232676, -0.07609424073823856)","(156, 111, 135)",
0.6458,,"(128.98967282942203, 78.02522171289593, 68.7632709261361)","(38.86056009610681, 31.70382280947576, 31.13646956743969)","(0.6636945226424651, 1.1547656540204516, 1.2856718157693796)","(-0.6227519424876697, 0.33721864158658166, 0.6335180784126577)","(95, 64, 47)",1
,,,,,,,
0.7879,,"(221.94466244040086, 176.9526285101456, 155.47808962390263)","(9.003656593634142, 14.007632140594298, 17.90797687711643)","(3.256989611379027, 2.313041343464056, 1.988226734931704)","(9.916079351216899, 4.090063030419644, 2.7610863776572137)","(220, 171, 151)",
0.7535,,"(199.78502492705593, 177.7854022201318, 168.78337234100945)","(11.062189422877688, 22.171193614949768, 23.125894274968122)","(2.7616125654456516, 2.007899338446568, 1.666917541466859)","(6.724484029967906, 3.1779817480404198, 1.6598406866356727)","(200, 184, 168)",
,,,,,,,
0.8663,,"(137.01111282260536, 123.02649871754329, 124.67286896538462)","(16.169600303251283, 15.452418920700232, 14.760135739806064)","(1.6107998998844284, 1.8468373433234335, 2.019576470532765)","(0.9558775577251, 1.9633036525460161, 2.7549405659938317)","(126, 118, 118)",
0.2548,,"(160.440796546015, 91.97903372131441, 71.28304085655327)","(19.486578781689765, 23.863530548885038, 20.898286421752072)","(1.5508064116630351, 1.289228194195251, 1.6499825606779615)","(0.8461827882993926, 0.09133465682087571, 1.2732498715095195)","(159, 79, 63)",
0.6946,,"(142.23753014885915, 109.77057608744326, 97.03541455547384)","(25.28653128442649, 27.83242281542235, 28.87410461467498)","(1.055545121588255, 1.00920616728119, 0.9188846521113738)","(-0.5825894102985791, -0.6209525609219297, -0.8154453822842735)","(143, 121, 84)",
0.5724,,"(120.2144595211139, 91.8069479111582, 90.79899996466702)","(10.000193597338065, 12.476427014890163, 11.265365116109077)","(3.218704976277736, 2.5948280497731173, 2.7364098391230605)","(9.31681331940947, 5.8310708950329335, 6.449381828636016)","(121, 94, 86)",
0.9172,,"(131.34443285365705, 90.75792307371194, 87.78879425093692)","(8.224246675151246, 14.32948948855851, 14.803209894383915)","(3.2956746390199965, 2.2458861566840373, 2.4201963436920986)","(9.815789111162074, 3.7095267963288237, 4.944919410898558)","(129, 86, 82)",
0.9247,,"(183.5847717813449, 140.92172905174448, 139.05117839250306)","(18.186811633071866, 25.87855961436464, 25.13044647272625)","(1.9015420175571398, 1.280034190527627, 1.2186467293522523)","(2.7470488892748754, 0.5217293359791291, 0.24853196934117028)","(184, 128, 136)",
0.6102,,"(156.80275250139675, 136.36291599385004, 146.04316805218696)","(7.555986270187989, 15.386788466101542, 18.89596267127033)","(3.4002881502406637, 1.7659226784603856, 1.3113573227503685)","(10.52157211146313, 1.613862733916152, 0.1071631398058348)","(157, 122, 154)",1
0.7841,,"(160.80202839422032, 132.21188612444257, 131.04652125116468)","(8.806894854968062, 11.940669123548101, 14.25311032927093)","(3.047390386685232, 2.65524995055728, 2.101568304929954)","(8.162215479001304, 6.060004621395615, 2.8954660598156856)","(161, 132, 124)",
0.7707,,"(165.64321402015776, 113.44345164591505, 93.35718357405858)","(20.030824112546576, 22.560670610323065, 20.937706785744545)","(1.7019479217313895, 1.3632756926149834, 1.568279164073676)","(1.5138198095670763, 0.30327332195597334, 0.971732590643235)","(167, 99, 88)",
0.8411,,"(136.89261623185575, 90.57843342736032, 61.971675284478806)","(32.211851614845926, 28.03141716324643, 25.552911374474096)","(0.7092832776939952, 1.1508052645862246, 1.37698770843038)","(-1.124691445900366, -0.15485697387733843, 0.49743710200409597)","(175, 85, 61)",
0.344,,"(195.3936656321166, 163.69887083108188, 174.84567137117847)","(11.518777364609061, 16.60645780370618, 19.84771124123859)","(3.043402596835367, 1.9936808035827835, 1.7466895167729606)","(8.54336578029717, 2.6550126504297786, 1.7068283603960568)","(197, 177, 188)",
0.8437,,"(84.28768283104102, 88.01694365428966, 84.99360021421842)","(14.853012027244116, 13.02730466861021, 13.62548058157648)","(2.496041620034204, 2.3853380820764807, 2.262052972101543)","(5.155749915999314, 4.28310930817149, 3.710310216897555)","(77, 83, 86)",1
0.9312,,"(171.28239670581206, 112.95379765101825, 114.69675308376463)","(22.066258858960424, 39.563091027023304, 41.54270855664914)","(2.1883619390259055, 0.7894586438161689, 0.42773518121611054)","(4.065099962383473, -0.47299358417360393, -1.1259894068399665)","(182, 131, 140)",
0.2362,,"(198.9087255813356, 134.8609547240776, 107.66052793094423)","(11.502924061323002, 18.793503407451865, 14.94039565581373)","(3.2330340517893372, 1.5372334764153854, 1.9263034237986343)","(10.959302113340167, 0.9717747892819015, 2.303760855636801)","(193, 144, 112)",
0.4135,,"(83.85456281982329, 62.20617812793762, 65.81041092728947)","(30.450269655014655, 35.75499238244967, 37.49077276438963)","(1.209466133022893, 1.202765738548402, 1.2712821666527572)","(0.20517890290042562, 0.3785966213336507, 0.6129075461083575)","(60, 28, 30)",1
,,,,,,,
,,,,,,,
0.7854,,"(145.47433766317954, 125.17759589833076, 120.94623650091671)","(19.169873064550753, 23.15370971236432, 24.28519862623121)","(1.8379735492258507, 1.1312721773807453, 1.005206581115772)","(2.0043916355363285, -0.3946673373674727, -0.7268024696348827)","(153, 119, 114)",1
0.9044,,"(148.92265745849363, 42.49724115486242, 55.30570893486947)","(14.43526286767741, 24.985967761891814, 22.664134365058697)","(2.0102321437042465, 1.7290938906267188, 1.7588173692641969)","(2.6212090867116773, 1.8777755150534485, 1.699388739976139)","(146, 46, 40)",
0.6842,,"(168.1391484299147, 159.2947489533035, 159.33186716759883)","(17.886708162243604, 28.52953489675496, 30.043397234710987)","(1.9941932332685584, 1.050667648480921, 1.0176925039892195)","(3.2809133926910565, 0.1461324627322087, 0.08607114133736626)","(157, 130, 141)",
0.93,,"(137.2919826761754, 97.6830231298045, 102.87430503443466)","(12.948639059027661, 25.87675954989737, 27.583360331127654)","(2.339106291476836, 1.418242001967871, 1.2376327671746936)","(4.47452923931274, 1.3194325631974984, 0.8239436547577599)","(131, 95, 101)",
0.6971,,"(185.09120138525032, 163.2100573565549, 147.1192720598774)","(32.09225702678418, 39.423913453463776, 42.932085735062785)","(0.4301901023635755, 0.2930715714265083, 0.3909981389128949)","(-1.5764020086308248, -1.2559937618488242, -0.8744673891386627)","(175, 140, 105)",
0.7481,,"(249.53975216863, 171.6292300777859, 131.02869863794876)","(5.6173681544414835, 22.4048158247517, 28.80150908140717)","(6.397782636506081, 2.4247045704646752, 1.8341506582670628)","(49.59901482345047, 5.131724656762499, 2.340928347587921)","(255, 160, 120)",
0.9034,,"(198.404123094464, 122.51457478773955, 110.63674271538912)","(21.239095401760864, 32.42044657820633, 33.033741000245435)","(1.7241046488438905, 1.133932657086068, 1.0510870812031767)","(1.7504222493664336, -0.09188694563437894, -0.3105980805725279)","(200, 115, 96)",
0.7857,,"(212.09010218390995, 150.55863125918768, 119.07668656886472)","(11.352461413229603, 15.23792218749461, 16.949722354651872)","(2.361335196244874, 1.935816846702367, 1.764112748041244)","(3.998662545859627, 2.3826458565663886, 1.8038538212422157)","(211, 154, 128)",
0.9202,,"(111.26029497814943, 85.90922180312964, 85.17463747569195)","(22.886198332353203, 23.540604596485757, 22.927610803464983)","(1.5368518118700591, 2.2999733506536137, 2.342823629870172)","(1.706649965916438, 4.94798352491982, 5.07171456616244)","(92, 71, 69)",1
,,,,,,,
0.7691,,"(187.95350209384924, 131.86050676679588, 119.03079702187097)","(8.987962265493447, 11.967290756897334, 13.230934422393238)","(2.8128339111533034, 2.328421029835003, 2.1019597018546037)","(6.739361927081694, 4.3356819323996945, 3.2371620477872955)","(193, 142, 129)",
0.6027,,"(164.50029439229002, 124.70948190017407, 105.63229002058688)","(17.774956517447837, 21.881847847819962, 20.10995049094464)","(1.7468418890815842, 1.541649712683533, 1.5138055843970928)","(1.8254108649460274, 1.1279112613714748, 0.9623858488349093)","(166, 127, 108)",
0.7151,,"(162.66090429537053, 117.54633950827247, 136.51981297247312)","(8.79135648171028, 21.421890299228956, 22.036049062940897)","(3.3052734210543173, 1.2842877396692893, 1.4504290012712369)","(10.050708872140747, 0.10436376929182334, 0.9798948390488409)","(160, 120, 141)",
0.7546,,"(84.84664105235606, 46.7479907706911, 31.018569546466097)","(38.770838793279644, 29.31763921841595, 24.28032109564763)","(0.20429911250760774, 0.9176761930894299, 1.8019279261735652)","(-1.559253539680478, -0.5983421902665702, 2.938193408123352)","(68, 31, 0)",
0.8686,,"(167.19919797658804, 124.44650541237206, 127.57698255975265)","(18.735527368146098, 21.913559554821372, 26.797367368602114)","(1.7152725278064431, 1.6306985939498666, 0.970387592035692)","(1.7010267431125703, 1.6450098232564505, -0.7271664648414862)","(184, 126, 126)",
0.5605,,"(157.22421645298527, 132.3007947267797, 133.32323873615678)","(11.1918877897862, 13.482996273138477, 13.741520045421986)","(2.649540212064473, 2.4977835436605274, 2.4674641611101915)","(5.8203020876072795, 5.192736509036054, 4.973423845526065)","(163, 130, 133)",1
0.8152,,"(149.93245229974582, 102.02039310311739, 97.15115873101877)","(25.82233508034666, 38.42514710843823, 44.136195403560166)","(1.360903910428641, 0.713698911658554, 0.3839291778237616)","(0.26814491976854304, -0.9029988660231916, -1.2650481483988962)","(150, 87, 75)",1
0.7197,,"(218.464567809262, 126.07488065284633, 123.92120181545943)","(13.756284021331183, 31.204776146388202, 33.17516132393267)","(1.9553561140999376, 1.1135708586887336, 1.0453404094105438)","(2.1963225739117567, -0.26643721331011205, -0.5048342122993401)","(221, 103, 112)",
0.9154,,"(115.4474564992206, 93.3253105270096, 92.08160573500209)","(14.301596382852777, 18.887304868646122, 19.67529160238864)","(2.602246471710544, 1.703761977729323, 1.5368229337348307)","(6.202371695688317, 1.5501460714703894, 0.9428207013232028)","(120, 103, 102)",
0.5336,,"(224.6384263316868, 147.30298416224832, 140.55246904947853)","(17.70876587511116, 25.206913061837437, 26.82061350520332)","(1.6772160509501726, 1.5153917668885872, 1.197188137093368)","(1.3801621742365233, 0.9482234504827685, -0.03446594773980571)","(223, 144, 140)",
0.9038,,"(123.39876737636223, 115.72775001617993, 105.60063940971304)","(27.348599823940955, 29.92938977534996, 31.08014235104124)","(1.369018980859936, 1.4688265902589401, 1.2637324448919809)","(0.903798783212479, 1.4349405654315435, 0.572488662701748)","(104, 88, 80)",
0.761,,"(123.19131668374757, 88.86680458378396, 82.1261889909947)","(16.47782869806517, 15.161783591037382, 15.739580006787289)","(1.6065203163977013, 2.0756536000656807, 2.0226749324814146)","(0.9114403145029404, 3.0019758542207695, 2.75337235598018)","(126, 87, 77)",
0.8096,,"(154.80004039262076, 80.79717920337634, 61.83016718761178)","(28.57398885791349, 33.96494312151292, 32.091335999216064)","(1.045046362706778, 0.8190727026093482, 1.058697490093321)","(-0.19383320687570116, -0.84437017020181, -0.263549947830779)","(184, 67, 52)",
0.7159,,"(101.58211989647316, 94.67649410125887, 82.61379806034165)","(21.58738120946427, 32.13760747514954, 32.23105443123758)","(1.3303299341878347, 0.9282837950684395, 1.031048618819868)","(0.15865382729328337, -0.7332924712325832, -0.5074578371957248)","(84, 71, 80)",1
0.7277,,"(124.3393728003939, 111.09989945602138, 101.84230855062924)","(22.679322560916336, 22.392887112769014, 23.292288428015123)","(1.1258500655543973, 1.1585585652746966, 1.2553189578210109)","(-0.3350837327502796, -0.25217887366868297, 0.18702038045901936)","(139, 123, 110)",
0.7028,,"(126.80884058321317, 58.163593292603764, 48.79232916373803)","(24.15915437536251, 24.49573105846475, 22.136059595123594)","(1.6782862482558865, 1.4122380458011874, 1.5780145534232435)","(1.8957595438585084, 0.7068337998329719, 1.2172664737997891)","(124, 56, 43)",
0.0441,,"(166.23854353427305, 105.94931443793757, 81.07465763056825)","(17.15670196681634, 25.971737690513127, 24.580443287408148)","(2.1081909149050113, 1.3180253092547125, 1.6000051630606404)","(3.2726359383839894, 0.5218794236871855, 1.299080903936484)","(158, 87, 71)",
0.8468,,"(179.42966863299262, 122.7294701443534, 116.65311085748272)","(22.27140493230816, 43.04256673035685, 48.62210517368356)","(1.9454211139944377, 0.7923630929734174, 1.0586110394288069)","(3.3466784130383127, -0.5353855521949087, 0.7140247932082819)","(183, 78, 63)",
0.1837,,"(160.81103413061646, 138.21225179590692, 150.61956047834246)","(30.565403529856987, 48.43179556612984, 46.39964161202082)","(1.282664544042708, 0.13178779511680772, 0.5198591898677515)","(0.6177286409848426, -1.0815901080324133, -0.6646542760606713)","(173, 159, 169)",1
,,,,,,,
0.6636,,"(199.66926507896278, 113.3494525286369, 105.65522547008004)","(12.604872624884733, 16.89684771430848, 16.195798999207938)","(2.7633696232801883, 2.6998810103459014, 2.5320216233386272)","(6.760713512547003, 7.4470563627828525, 6.152512778017893)","(198, 111, 102)",
0.68,,"(157.86865313873932, 126.07836670246797, 122.45206664235775)","(12.779621190142421, 23.945988824607674, 21.820975762443112)","(2.983424919818752, 1.6984353361519158, 1.8118709463470861)","(8.456825429357083, 1.9321557168633552, 2.16136595351898)","(153, 109, 106)",
0.7094,,"(168.06246734363958, 93.2457405399764, 86.91533278720453)","(22.17431573810381, 25.938163900565915, 26.968595968097198)","(1.4995128035281593, 1.5684710443993402, 1.1529115316536398)","(1.2129736932605137, 1.5469643822705628, 0.14737622493548486)","(158, 70, 73)",
0.7724,,"(173.10437678708377, 142.47850307029876, 129.44607615716768)","(26.509821799077642, 34.64311811987203, 34.60175986790755)","(1.3131440918476232, 1.2972082737139379, 1.193655020726883)","(0.4849239756195738, 0.6934424598444262, 0.21916933480828238)","(179, 152, 140)",
0.1459,,"(135.4084758066174, 95.61706238437341, 76.19362212762621)","(11.935404547056955, 14.745891739750908, 14.334538230808274)","(2.5207109146441935, 2.084876288457087, 2.3230828769821934)","(5.161051020904885, 2.937354004216398, 4.19358207084554)","(131, 86, 69)",
0.9342,,"(84.8730605738524, 77.5052525682745, 67.09494458545441)","(20.548207888157766, 22.09123415984172, 21.969351437868625)","(1.7294351345751815, 1.7357216543158234, 1.7401596147589162)","(1.8035389888881568, 1.8094284154905278, 1.8687854208666232)","(79, 71, 62)",
0.8311,,"(171.98397500248393, 142.43582193530165, 140.23434180492768)","(34.170759083643496, 36.58902194533335, 38.811195631375966)","(0.8721667737847436, 0.76610398393954, 0.6914151717568645)","(-0.49567866289911056, -0.567547293886717, -0.7324548446190611)","(175, 128, 143)",1
0.8698,,"(188.84678120247554, 88.20682120294077, 60.48800841817865)","(12.245828051955735, 13.538780276588646, 8.749881877689084)","(2.176428832529501, 2.285664457709083, 3.2141391319562755)","(3.185462276250729, 4.134527484331657, 9.43301927037121)","(184, 87, 62)",
0.5876,,"(166.12741690638177, 128.99706676948063, 103.81942252243152)","(12.033362563709401, 11.865711537769682, 11.606476166524702)","(2.5238199666489294, 2.6521787725796924, 2.6927473445124344)","(5.3278976910705875, 6.252745653194202, 6.474119039672875)","(164, 127, 102)",
0.868,,"(152.64487263030605, 91.47339125312283, 78.43267464415112)","(11.434554339772403, 16.684654405967414, 14.450438011652297)","(3.0758519283898336, 2.5504750734598542, 2.5623292284330277)","(8.829027104446297, 6.18491724658667, 5.760740442792326)","(147, 87, 80)",
0.7137,,"(145.78280497429205, 112.82160628710335, 109.03396142452311)","(12.548873623620958, 17.63181681186198, 17.815402307923726)","(2.808470726495386, 1.95094870268886, 2.1498480167628857)","(7.448246576534531, 2.5905735265347367, 3.8061817483001867)","(152, 106, 106)",
,,,,,,,
0.1249,,"(136.69610729820124, 113.49749394264654, 98.44921663662535)","(22.08373904704572, 27.024412823415574, 26.74971306829695)","(1.8668630761955405, 1.697446428226785, 1.3053733213545187)","(2.950636223166514, 2.5942980359062506, 0.5576611850332029)","(153, 130, 116)",
0.8158,,"(139.28158214902214, 104.02245706926624, 71.59132242288615)","(21.563940224924707, 17.693088528724875, 14.91702646825333)","(1.1889128516549392, 1.5418340662991916, 1.9158975194758343)","(-0.23085767068925866, 0.8446073125107936, 2.3780645188100538)","(140, 96, 64)",
0.9397,,"(163.54115226164504, 129.54986997664128, 125.0532748460646)","(10.070680247728587, 14.69712917515492, 15.095997840846344)","(3.849056889663222, 2.6029500122972418, 2.7923632889231613)","(15.254168474176328, 5.648418527491987, 6.954748232703615)","(166, 132, 122)",
0.7736,,"(120.56181293398458, 101.57734957177581, 91.79019267606509)","(37.42715848645073, 40.15837170208897, 38.97713204525282)","(0.5958005045030659, 0.4581746360544739, 0.6075053756671358)","(-0.9350747452077912, -1.015616566996853, -0.9864561137172614)","(116, 87, 68)",1
0.5164,,"(216.94296139321523, 116.45944574143505, 59.54526426369557)","(19.861531543484688, 20.521169746362208, 17.988840418399395)","(1.4824799724422628, 1.488129237246997, 1.7300629673359162)","(0.6422727920597593, 0.747414907684802, 1.5718992572369457)","(213, 108, 60)",
